vehicle_id,last_service_date,mileage_km,engine_hours,vehicle_age_years,fault_code_count,oil_temp_avg_celsius,vibration_level,battery_voltage,engine_load_percent,fuel_efficiency_kmpl,vehicle_type,fuel_type,region,road_condition,weather_condition,maintenance_required,failure_component,time_to_failure_days
1102,2025-02-25 11:24:36.978477,118442.54962609892,3743.5144577863007,8,4,79.15762348195031,0.5836829793902621,13.815379261582839,44.45162815706961,12.395454740566796,Van,Electric,South,Rural,Normal,0,nan,161.29136595789325
1435,2025-09-22 11:24:36.978477,124556.52351213482,3938.1027337679984,3,5,90.1756435562886,0.6074255330425111,12.730741405423315,90.44276857214868,19.155878250512078,SUV,Diesel,South,Highway,Hot,0,nan,197.6335570090425
1860,2026-01-23 11:24:36.978477,103631.33179038527,2402.5725549684794,3,1,89.94113188089291,0.987506561272636,12.926774770223624,44.38231313430722,11.837710108672443,Sedan,Petrol,East,Urban,Cold,0,nan,161.02668405126843
1270,2025-08-31 11:24:36.978477,251755.70591607038,4851.917567733215,7,8,77.74446099156482,0.7797703030432688,12.017786600679075,23.417419453349623,21.638447705634917,Van,Diesel,West,Highway,Hot,1,Battery,28.421156883553444
1106,2025-12-25 11:24:36.978477,164027.8673329606,3632.493111374018,4,2,95.73367483343793,0.5049069763722518,13.659142689324527,70.71374025272121,,Truck,Diesel,East,Urban,Rainy,0,nan,189.9574484920738
1071,2025-12-17 11:24:36.978477,159716.55151422252,3532.743332286677,3,4,114.43962476768957,0.7834857216194343,12.925491263952637,59.68595251111452,,Truck,Electric,South,Highway,Hot,1,Battery,25.009594461530128
1700,2025-12-06 11:24:36.978477,112044.7798753056,2277.861682972882,8,5,86.48000389320543,0.4859599240413061,11.678516184529702,87.7863313057754,16.02615867531012,SUV,Diesel,North,Urban,Normal,0,nan,218.9787832845905
1020,2025-09-19 11:24:36.978477,191725.5192288884,4254.857426850712,3,3,108.98422825771658,0.6550716219638502,12.531987273140931,87.24124759139247,7.491478750628176,Van,Petrol,North,Urban,Normal,0,nan,186.30322402037194
1614,2025-11-02 11:24:36.978477,488685.9700435423,5682.07945216704,13,3,98.41476358387293,0.7402719990708773,13.720561296171933,50.38889081197753,6.004628389086449,Van,Electric,North,Highway,Hot,0,nan,274.38780255143257
1121,2025-12-25 11:24:36.978477,144857.06134378343,2841.2357177214853,14,1,71.45975552572304,0.4577006799085088,13.5675947785305,86.69277489586122,12.305810458371651,Van,Electric,West,Rural,Rainy,0,nan,46.1105222307786
1466,2025-04-15 11:24:36.978477,125989.11190730805,4992.174517090644,7,2,124.60404810320624,0.507793428964604,10.586823792297965,50.88498318566121,11.580226251049037,Van,Diesel,South,Rural,Normal,0,nan,197.24209816904303
1214,2025-03-06 11:24:36.978477,134564.89143269128,2609.430226893428,2,2,84.03088780774249,0.4938801235245895,12.20207263126892,75.82409770662153,,Truck,Electric,South,Highway,Rainy,0,nan,234.97659235697623
